Line,AG_ALARM,AG_CHG,AG_CHG_OK,AG_CONFIDENCE,AG_DEV,AG_DUPLICATES_GROUP,AG_I_TOO_HIGH_ALARM,AG_M_SD_ALARM,AG_M_TOLERANCE_ALARM,AG_M_TOO_HIGH_ALARM,AG_M_TOO_LOW_ALARM,AG_NORMALIZED_IP[0],AG_NORMALIZED_IP[1],AG_NORMALIZED_IP[2],AG_NORMALIZED_IP[3],AG_NORMALIZED_IP[4],AG_NORMALIZED_IP[5],AG_NORMALIZED_IP[6],AG_NORMALIZED_IP[7],AG_NORMALIZED_IP[8],AG_NORMALIZED_IP[9],AG_NORMALIZED_IP[10],AG_NORMALIZED_IP[11],AG_NORMALIZED_IP[12],AG_NORMALIZED_IP[13],AG_NORMALIZED_IP[14],AG_NORMALIZED_IP[15],AG_NORMALIZED_IP[16],AG_NORMALIZED_IP[17],AG_NORMALIZED_IP[18],AG_NORMALIZED_IP[19],AG_RS_TOO_HIGH_ALARM,AG_VALID_WINDOWS_COUNT,AG_VP_TOO_LOW_ALARM,Chg,ColeM,ColeRMS,ColeTau,Date,DayTime,I,IP[0],IP[1],IP[2],IP[3],IP[4],IP[5],IP[6],IP[7],IP[8],IP[9],IP[10],IP[11],IP[12],IP[13],IP[14],IP[15],IP[16],IP[17],IP[18],IP[19],IP_Avg,MF,N,Name,Overload,Q,QC,QC_IP,QC_RES,R1X,R1Y,R1Z,R2X,R2Y,R2Z,ResCalc,ResMeas,RsCheck,RxBat,Sp,Stack,Stn,T1X,T1Y,T1Z,T2X,T2Y,T2Z,Temp,Time,Topo,TxBat,Type,Vp,X,Y,Z
LGrid5,0,17.7573280334473,1,100,0.109136074781418,0,0,0,0,0,0,14.5709581375122,14.7452220916748,14.9534587860107,14.7866106033325,14.8403511047363,14.7481422424316,14.6680746078491,14.6148633956909,14.6996755599976,14.651873588562,14.7356309890747,14.6950454711914,14.6547899246216,14.6222076416016,14.5971298217773,14.6591558456421,14.6311979293823,14.6184434890747,14.6371250152588,14.6224050521851,0,20,0,17.9710712432861,0,0,0,2020.60655737705,10.1752777777778,1.29013776779175,26.019567489624,23.0394096374512,20.7686920166016,18.9571933746338,17.4592361450195,16.2067489624023,15.1217260360718,14.18918800354,13.3633413314819,12.6309261322021,11.9801874160767,11.391508102417,10.8554000854492,10.3703603744507,9.93002033233643,9.5189323425293,9.14449882507324,8.8062915802002,8.50995635986328,8.21483421325684,13.8239009380341,1.65802377786646,,9999,0,0.165749371051788,1,1,1,5165833,536311,0,5165785,536311,0,8337.57701341449,8337.5771484375,8.70514106750488,16.3999996185303,51.3731803894043,146,534103,5163848,531895,0,5165731,536386,0,24,1000,,0,0,-5000.8076171875,5163848,534103,-37.5
LGrid5,0,16.9737644195557,1,100,0.115765690803528,0,0,0,0,0,0,13.6958589553833,13.9255723953247,14.1721286773682,14.0503759384155,14.134838104248,14.066424369812,14.0150890350342,13.9698791503906,14.0673818588257,14.0374736785889,14.126953125,14.097448348999,14.0756006240845,14.0533800125122,14.0296821594238,14.0986890792847,14.0751981735229,14.0557117462158,14.0324277877808,14.0100193023682,0,20,0,17.140495300293,0,0,0,2020.60655737705,10.5927777777778,2.35615587234497,24.4568901062012,21.7587070465088,19.6835117340088,18.0133037567139,16.6292209625244,15.4576091766357,14.4485454559326,13.5629901885986,12.7885284423828,12.1012706756592,11.4853277206421,10.9282550811768,10.4263706207275,9.9669361114502,9.54400157928467,9.15499305725098,8.79699897766113,8.4672966003418,8.15838813781738,7.87079763412476,13.1849971532822,0.745874749033471,85.12,9999,0,0.0747751146554947,1,1,1,5165783,536151,0,5165777,536206,0,17677.2268673363,17677.23046875,8.74805164337158,15.8999996185303,97.2143249511719,146,534023,5163848,531895,0,5165925,536350,0,24,1000,,0,0,-5000.8076171875,5163848,534050.5,-72
LGrid5,0,24.6347808837891,1,100,0.140920877456665,0,0,0,0,0,0,20.0500583648682,20.3327655792236,20.6553211212158,20.448169708252,20.5516319274902,20.4365196228027,20.3489170074463,20.2796249389648,20.4102306365967,20.3578948974609,20.4741535186768,20.4287223815918,20.385498046875,20.3437652587891,20.3105545043945,20.4089031219482,20.3723659515381,20.3411045074463,20.3110790252686,20.2759780883789,0,20,0,24.9048118591309,0,0,0,2020.60655737705,10.1752777777778,1.3824280500412,35.8036766052246,31.769947052002,28.6879444122314,26.2156028747559,24.1783905029297,22.4577140808105,20.9782638549805,19.6889572143555,18.5547542572021,17.5499095916748,16.6456527709961,15.8362197875977,15.1003684997559,14.4282026290894,13.8167028427124,13.252534866333,12.7327280044556,12.2536773681641,11.8087663650513,11.390998840332,19.1575506210327,4.4372188072211,,9999,0,0.109975002706051,1,1,1,5165833,536311,0,5165785,536311,0,4317.46809281883,4317.46728515625,8.70514106750488,16.3999996185303,53.0540046691895,146,534103,5163848,531895,0,5165725,536350,0,24,1000,,0,0,-5000.8076171875,5163848,534103,-19.5
LGrid5,1,-1.86664164066315,0,10,0.632812678813934,0,0,0,1,0,0,23.7875862121582,21.8801021575928,20.2261962890625,18.2322101593018,16.6544857025146,15.0001945495605,13.4600763320923,12.0107908248901,10.7346668243408,9.39226722717285,8.17183208465576,6.9159369468689,5.69351196289063,4.50698518753052,3.35254096984863,2.23815298080444,1.12696003913879,0.0428657084703445,-1.02053678035736,-2.06737327575684,0,2,0,14.9324750900269,0,0,0,2020.60655737705,10.5927777777778,2.0661358833313,42.4778327941895,34.1876602172852,28.0919380187988,23.3746280670166,19.5935115814209,16.4837303161621,13.8763666152954,11.6609621047974,9.75878810882568,8.09678268432617,6.64376592636108,5.36119174957275,4.21741628646851,3.19644355773926,2.28064012527466,1.45334613323212,0.704349994659424,0.0258227158337832,-0.593335330486298,-1.16144573688507,11.4865197964944,3.9122089048585,85.12,9999,0,0.388393372297287,1,1,1,5165783,536151,0,5165777,536206,0,2936.070152652,2936.07055664063,8.74805164337158,15.8999996185303,98.7831878662109,146,534023,5163848,531895,0,5165825,536200,0,24,1000,,0,0,-5000.8076171875,5163848,536175.5,-2128
LGrid5,0,20.536808013916,1,100,0.197726100683212,0,0,0,0,0,0,16.394702911377,16.713737487793,17.0424766540527,16.9230117797852,17.0472450256348,16.9822292327881,16.9368152618408,16.9072303771973,17.0351715087891,17.0084438323975,17.1263332366943,17.0972919464111,17.0717792510986,17.0499172210693,17.0288562774658,17.1216144561768,17.0946464538574,17.0719623565674,17.0459518432617,17.0327243804932,0,20,0,20.7067260742188,0,0,0,2020.60655737705,10.5927777777778,1.98997068405151,29.2762546539307,26.1152153015137,23.6701049804688,21.6961708068848,20.0555820465088,18.6617889404297,17.4606342315674,16.4147872924805,15.4865188598633,14.6624517440796,13.9238471984863,13.2537155151367,12.6457624435425,12.0921401977539,11.5842561721802,11.1179313659668,10.6841535568237,10.2843151092529,9.91043663024902,9.56894683837891,15.9282506942749,0.0971573708397862,85.12,9999,0,0.0824112519621849,1,1,1,5165783,536151,0,5165777,536206,0,163942.792570425,163942.46875,8.74805164337158,15.8999996185303,97.7105865478516,144,534023,5163848,531895,0,5165925,536200,0,24,1000,,0,0,-5000.80712890625,5163848,536175.5,-2128
LGrid5,0,21.1773090362549,1,100,0.768834948539734,0,0,0,0,0,0,16.1247653961182,16.4898071289063,16.8840217590332,16.8469161987305,17.0549068450928,17.0835056304932,17.1299133300781,17.1882820129395,17.4180908203125,17.4864940643311,17.7019557952881,17.767427444458,17.8305587768555,17.9019985198975,17.9730167388916,18.1591720581055,18.2261180877686,18.2930641174316,18.3450412750244,18.4227046966553,0,20,0,21.139087677002,0,0,0,2020.60655737705,10.5927777777778,1.98569810390472,28.7942237854004,25.765323638916,23.4500293731689,21.598611831665,20.0645961761475,18.7730827331543,17.659704208374,16.6876525878906,15.8346281051636,15.0745649337769,14.3918342590332,13.7732000350952,13.207820892334,12.6964530944824,12.226541519165,11.7916698455811,11.3913240432739,11.0199184417725,10.6657218933105,10.3498344421387,16.2608367919922,6.09973047815629,85.12,9999,0,0.115635342895985,1,1,1,5165783,536151,0,5165777,536206,0,2665.82873624069,2665.82836914063,8.74805164337158,15.8999996185303,131.468292236328,144,534023,5163848,531895,0,5165725,536200,0,24,1000,,0,0,-5000.80712890625,5163848,536175.5,-2128
LGrid5,0,27.5063896179199,1,100,0.276796221733093,0,0,0,0,0,0,21.9799137115479,22.3666324615479,22.7845458984375,22.6144199371338,22.7773132324219,22.6939029693604,22.6384677886963,22.601354598999,22.7838573455811,22.7583770751953,22.923246383667,22.8936805725098,22.8733882904053,22.8575267791748,22.8385810852051,22.9689407348633,22.952672958374,22.9295101165771,22.9081420898438,22.8826885223389,0,20,0,27.7229194641113,0,0,0,2020.60655737705,10.1752777777778,1.40010952949524,39.2498474121094,34.9478645324707,31.6452026367188,28.992847442627,26.796838760376,24.9383544921875,23.3386268615723,21.9430637359619,20.7125968933105,19.619291305542,18.6367855072021,17.7470397949219,16.9432506561279,16.2110118865967,15.536449432373,14.9148969650269,14.345419883728,13.8129587173462,13.3186874389648,12.8554430007935,21.3253238677979,4.1103502853737,88.32,9999,0,0.234346985816956,1,1,1,5165785,536311,0,5165778,536350,0,5188.20109898712,5188.2001953125,6.93169069290161,16.3999996185303,-48.1188468933105,146,534103,5163848,531895,0,5165825,536400,0,24,1000,,0,0,-5000.74951171875,5163848,534122.5,-25
LGrid5,0,39.8136253356934,1,100,1.36375176906586,0,0,0,0,0,0,34.3390426635742,34.5603103637695,34.8571357727051,34.2774047851563,34.2296447753906,33.822940826416,33.4777984619141,33.1737365722656,33.2014122009277,32.9235534667969,32.9384307861328,32.6804122924805,32.4312171936035,32.1933631896973,31.9658050537109,31.9543476104736,31.7272987365723,31.5080490112305,31.2859230041504,31.0729522705078,0,20,0,40.7109603881836,0,0,0,2020.60655737705,10.1752777777778,1.50466620922089,61.3197212219238,54.00048828125,48.4126892089844,43.9453926086426,40.2701683044434,37.1680641174316,34.5131950378418,32.2075119018555,30.1830997467041,28.3823757171631,26.7792129516602,25.3336544036865,24.0231246948242,22.8321743011475,21.7454452514648,20.7495765686035,19.8295612335205,18.9807529449463,18.189489364624,17.456714630127,31.3161206245422,13.19673355669,88.32,9999,0,0.190285190939903,1,1,1,5165785,536311,0,5165778,536350,0,2373.02060316787,2373.0205078125,6.93169069290161,16.3999996185303,3.17236328125,146,534103,5163848,531895,0,5165775,536400,0,24,1000,,0,0,-5000.74951171875,5163848,534122.5,-25
LGrid5,0,15.2536954879761,1,100,0.0805567800998688,0,0,0,0,0,0,12.4192457199097,12.5855140686035,12.7773303985596,12.646674156189,12.708366394043,12.637303352356,12.585277557373,12.545313835144,12.6270122528076,12.5966167449951,12.6733512878418,12.6450843811035,12.6181621551514,12.5979862213135,12.5776166915894,12.6407899856567,12.6220111846924,12.6096315383911,12.618239402771,12.6041975021362,0,20,0,15.4171562194824,0,0,0,2020.60655737705,10.1752777777778,1.29013776779175,22.177225112915,19.6648654937744,17.7462921142578,16.2136859893799,14.9510192871094,13.8871459960938,12.9745121002197,12.1799163818359,11.4791021347046,10.8591527938843,10.3035373687744,9.80239105224609,9.34678649902344,8.93474197387695,8.55620193481445,8.20830535888672,7.88875675201416,7.59616374969482,7.33618545532227,7.08100986480713,11.8593498706818,2.9567316371518,88.32,9999,0,0.141156136989594,1,1,1,5165785,536311,0,5165778,536350,0,4010.96593335261,4010.96508789063,6.93169069290161,16.3999996185303,-34.5498046875,146,534103,5163848,531895,0,5165731,536386,0,24,1000,,0,0,-5000.74951171875,5163848,534122.5,-18
LGrid5,0,21.0041751861572,1,100,0.339838236570358,0,0,0,0,0,0,16.512149810791,16.8677196502686,17.2380542755127,17.145486831665,17.3065319061279,17.2721767425537,17.2517623901367,17.2439651489258,17.4005966186523,17.3954734802246,17.5359401702881,17.524320602417,17.5247020721436,17.539924621582,17.5448188781738,17.6580066680908,17.6415939331055,17.6316890716553,17.6203861236572,17.6082744598389,0,20,0,21.1182422637939,0,0,0,2020.60655737705,10.1752777777778,1.26168429851532,29.4859828948975,26.3558139801025,23.9417400360107,21.9813938140869,20.3606262207031,18.9804134368896,17.7853221893311,16.7417144775391,15.8187236785889,14.9960985183716,14.2568616867065,13.5847444534302,12.9812612533569,12.4396629333496,11.9352502822876,11.4662389755249,11.0259962081909,10.6215000152588,10.2444105148315,9.89228916168213,16.244802236557,2.20348337636302,88.32,9999,0,0.101613610982895,1,1,1,5165785,536311,0,5165778,536350,0,7372.32801972393,7372.3291015625,6.93169069290161,16.3999996185303,-43.4255485534668,146,534103,5163848,531895,0,5165825,536350,0,24,1000,,0,0,-5000.74951171875,5163848,536330.5,-2208
